id,suburb,fuel_code,Feb_2017,Mar_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Jun_2018,Oct_2019
10000,Abbotsbury,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005,Alexandria,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,Alfords Point,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,Allawah,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010,Annandale,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,Annangrove,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,Arndell Park,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10015,Artarmon,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10016,Ashbury,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017,Ashcroft,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018,Ashfield,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019,Asquith,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020,Auburn,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,Austral,CNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
